PPO1h     	 69	   -0.8284	    0.1220	    0.5453
PPO2h     	 69	   -0.8284	   -0.1220	    0.5453
PPO4h     	 69	   -0.8108	   -0.3519	    0.4659
PO9       	 69	   -0.7467	    0.5425	   -0.3825
PO7       	 69	   -0.8090	    0.5878	    0.0000
PO3       	 69	   -0.8918	    0.3549	    0.2776
POz       	 69	   -0.9230	    0.0000	    0.3824
PO4       	 69	   -0.8918	   -0.3549	    0.2776
PO8       	 69	   -0.8090	   -0.5878	    0.0000
PO10      	 69	   -0.7467	   -0.5425	   -0.3825
POO1      	 69	   -0.9739	    0.1285	    0.1822
POO2      	 69	   -0.9739	   -0.1286	    0.1822
POO9h     	 69	   -0.8730	    0.4448	   -0.1950
O1        	 69	   -0.9511	    0.3090	    0.0000
Oz        	 69	   -1.0000	    0.0000	    0.0000
O2        	 69	   -0.9511	   -0.3090	    0.0000
POO10h    	 69	   -0.8730	   -0.4448	   -0.1950
OI1h      	 69	   -0.9679	    0.1533	   -0.1950
OI2h      	 69	   -0.9679	   -0.1533	   -0.1950
I1        	 69	   -0.8785	    0.2854	   -0.3824
Iz        	 69	   -0.9230	    0.0000	   -0.3823
I2        	 69	   -0.8785	   -0.2854	   -0.3824
AFp9h     	 69	    0.8732	    0.4449	   -0.1949
NFp1h     	 69	    0.9601	    0.1564	   -0.1949
NFp2h     	 69	    0.9601	   -0.1564	   -0.1949
AFp10h    	 69	    0.8732	   -0.4449	   -0.1949
Centroid  	 99	    0.0000	    0.0000	    0.0000
Ref       	120	    0.0000	   -0.9237	   -0.5773
